,PP spectrum,
Raman shift [1/cm],Counts/sec,
3013.636,574.31433,
3012.672,583.72528,
3011.707,597.07971,
3010.743,613.32111,
3009.779,622.66199,
3008.815,625.22864,
3007.850,630.42188,
3006.886,638.71979,
3005.922,650.44427,
3004.958,664.41565,
3003.994,682.71954,
3003.029,701.23358,
3002.065,710.86224,
3001.101,715.81976,
3000.137,731.46222,
2999.172,754.82971,
2998.208,776.05627,
2997.244,796.20129,
2996.280,803.35052,
2995.315,808.05939,
2994.351,824.60339,
2993.387,849.53961,
2992.423,878.63409,
2991.458,908.26483,
2990.494,937.13098,
2989.530,969.93878,
2988.566,1007.4622,
2987.602,1046.3364,
2986.637,1088.363,
2985.673,1133.9789,
2984.709,1184.6523,
2983.745,1244.6224,
2982.780,1311.6302,
2981.816,1381.7773,
2980.852,1456.4833,
2979.888,1537.8518,
2978.923,1624.8888,
2977.959,1722.6606,
2976.995,1839.4933,
2976.031,1979.3364,
2975.067,2146.2075,
2974.102,2340.0261,
2973.138,2557.0598,
2972.174,2786.7649,
2971.210,3031.7427,
2970.245,3318.2744,
2969.281,3648.3152,
2968.317,3992.7063,
2967.353,4338.4077,
2966.388,4692.4385,
2965.424,5052.5229,
2964.460,5399.6221,
2963.496,5725.8145,
2962.531,6034.2944,
2961.567,6328.0259,
2960.603,6628.6206,
2959.639,6919.7388,
2958.675,7131.5327,
2957.710,7249.5728,
2956.746,7296.1572,
2955.782,7283.249,
2954.818,7276.6123,
2953.853,7310.2046,
2952.889,7482.6118,
2951.925,7787.6426,
2950.961,8022.5791,
2949.996,8191.0938,
2949.032,8169.1885,
2948.068,7960.6094,
2947.104,7540.499,
2946.140,6947.1792,
2945.175,6315.5571,
2944.211,5687.1406,
2943.247,5136.9028,
2942.283,4658.9634,
2941.318,4264.1514,
2940.354,3957.1011,
2939.390,3760.6233,
2938.426,3654.6968,
2937.461,3618.8386,
2936.497,3648.342,
2935.533,3732.5066,
2934.569,3874.115,
2933.604,4076.9189,
2932.640,4330.751,
2931.676,4613.4238,
2930.712,4936.3403,
2929.748,5290.2612,
2928.783,5673.0327,
2927.819,6074.9219,
2926.855,6479.6235,
2925.891,6851.2866,
2924.926,7176.4346,
2923.962,7431.7803,
2922.998,7617.8657,
2922.034,7728.8154,
2921.069,7767.7271,
2920.105,7742.8745,
2919.141,7664.9951,
2918.177,7567.2793,
2917.213,7447.3037,
2916.248,7333.6333,
2915.284,7237.9575,
2914.320,7179.021,
2913.356,7160.9053,
2912.391,7186.604,
2911.427,7263.8481,
2910.463,7426.9932,
2909.499,7668.936,
2908.534,8001.5654,
2907.570,8427.6455,
2906.606,8949.1064,
2905.642,9496.3975,
2904.677,9998.0459,
2903.713,10422.4,
2902.749,10736.395,
2901.785,10906.498,
2900.821,10876.372,
2899.856,10695.85,
2898.892,10463.16,
2897.928,10205.689,
2896.964,10005.588,
2895.999,9831.6416,
2895.035,9705.1084,
2894.071,9655.0957,
2893.107,9712.2393,
2892.142,9862.2813,
2891.178,10087.103,
2890.214,10373.559,
2889.250,10725.875,
2888.286,11143.225,
2887.321,11604.548,
2886.357,12108.873,
2885.393,12636.306,
2884.429,13129.897,
2883.464,13543.525,
2882.500,13878.4,
2881.536,14116.814,
2880.572,14197.659,
2879.607,14073.649,
2878.643,13781.401,
2877.679,13353.971,
2876.715,12819.104,
2875.750,12226.593,
2874.786,11611.411,
2873.822,11032.265,
2872.858,10497.394,
2871.894,10033.955,
2870.929,9689.6826,
2869.965,9505.8369,
2869.001,9441.79,
2868.037,9478.2725,
2867.072,9578.1348,
2866.108,9672.7373,
2865.144,9721.0771,
2864.180,9643.29,
2863.215,9398.5195,
2862.251,8895.248,
2861.287,8205.4404,
2860.323,7344.5439,
2859.359,6442.0459,
2858.394,5569.9033,
2857.430,4793.1123,
2856.466,4167.4331,
2855.502,3675.3123,
2854.537,3312.4089,
2853.573,3068.8152,
2852.609,2928.124,
2851.645,2856.3442,
2850.680,2817.5249,
2849.716,2828.2583,
2848.752,2889.4431,
2847.788,3008.3152,
2846.823,3185.5085,
2845.859,3415.6724,
2844.895,3699.0195,
2843.931,4042.7922,
2842.967,4448.9121,
2842.002,4897.3623,
2841.038,5354.0776,
2840.074,5797.7856,
2839.110,6199.7407,
2838.145,6484.7217,
2837.181,6601.4668,
2836.217,6560.4976,
2835.253,6357.3521,
2834.288,5998.5381,
2833.324,5480.355,
2832.360,4875.8955,
2831.396,4290.0757,
2830.431,3714.3088,
2829.467,3194.5569,
2828.503,2744.8943,
2827.539,2400.3704,
2826.575,2113.7542,
2825.610,1872.0599,
2824.646,1677.8646,
2823.682,1527.9479,
2822.718,1405.4442,
2821.753,1294.9109,
2820.789,1210.3479,
2819.825,1155.3469,
2818.861,1109.7589,
2817.896,1053.1448,
2816.932,997.2854,
