,PVC Spectrum,
Raman shift [1/cm],Counts/sec,
2888.285,145.80632,
2887.321,131.477,
2886.357,120.83578,
2885.393,114.53654,
2884.428,109.336,
2883.464,102.99038,
2882.500,97.269325,
2881.536,92.487281,
2880.572,87.855263,
2879.607,82.807056,
2878.643,77.862754,
2877.679,73.647112,
2876.715,70.142415,
2875.750,67.669548,
2874.786,66.121875,
2873.822,65.202727,
2872.858,64.962572,
2871.893,65.228917,
2870.929,65.912308,
2869.965,67.23259,
2869.001,67.932709,
2868.036,67.222962,
2867.072,67.246323,
2866.108,69.317681,
2865.144,70.867392,
2864.180,70.339738,
2863.215,70.451481,
2862.251,72.662893,
2861.287,75.420731,
2860.323,78.406406,
2859.358,81.074505,
2858.394,83.189373,
2857.430,83.656842,
2856.466,81.57148,
2855.501,81.099979,
2854.537,85.708022,
2853.573,90.215045,
2852.609,90.686858,
2851.645,91.672045,
2850.680,95.691076,
2849.716,97.34443,
2848.752,94.56004,
2847.788,94.369011,
2846.823,99.431383,
2845.859,103.27329,
2844.895,101.90284,
2843.931,100.40559,
2842.966,101.87318,
2842.002,101.67495,
2841.038,95.954602,
2840.074,90.013218,
2839.109,87.630627,
2838.145,85.108089,
2837.181,81.359407,
2836.217,75.683822,
2835.253,67.530012,
2834.288,59.857112,
2833.324,54.621515,
2832.360,51.38919,
2831.396,50.692058,
2830.431,50.847076,
2829.467,49.82285,
2828.503,47.880744,
2827.539,43.965303,
2826.574,40.988429,
2825.610,41.043071,
2824.646,41.619978,
2823.682,41.554591,
2822.718,42.44521,
2821.753,45.463026,
2820.789,49.278129,
2819.825,52.114328,
2818.861,53.412342,
2817.896,51.774955,
2816.932,49.897288,
2815.968,50.512388,
2815.004,51.388871,
2814.039,51.679119,
2813.075,51.461224,
2812.111,50.317619,
2811.147,47.962194,
2810.182,44.016632,
2809.218,38.617705,
2808.254,32.881471,
2807.290,28.157199,
2806.326,25.818766,
2805.361,23.808362,
2804.397,20.693954,
2803.433,17.670122,
2802.469,15.689796,
2801.504,14.556443,
2800.540,13.73515,
2799.576,12.936122,
2798.612,12.382849,
2797.647,12.063704,
2796.683,11.049832,
2795.719,9.6615765,
2794.755,8.6583206,
2793.791,8.0562019,
2792.826,8.7653159,
2791.862,9.7192553,
2790.898,9.6756837,
2789.934,8.2820641,
2788.969,5.0703203,
2788.005,3.2004469,
2787.041,6.4370585,
2786.077,11.117956,
2785.112,10.434744,
2784.148,7.1746269,
2783.184,7.0248125,
2782.220,7.5831032,
2781.255,7.0569222,
2780.291,6.5606722,
2779.327,6.5822931,
2778.363,6.7774494,
2777.399,6.9490213,
2776.434,7.5840218,
2775.470,9.7908482,
2774.506,12.686737,
2773.542,13.440487,
2772.577,12.793406,
2771.613,13.818982,
2770.649,15.423416,
2769.685,15.04987,
2768.720,14.105035,
2767.756,13.948969,
2766.792,14.332844,
2765.828,15.150901,
2764.864,16.006554,
2763.899,15.980517,
2762.935,15.257018,
2761.971,15.53235,
2761.007,17.213978,
2760.042,19.873832,
2759.078,23.190031,
2758.114,26.047198,
2757.150,28.425605,
2756.185,28.920124,
2755.221,28.597994,
2754.257,29.053061,
2753.293,30.083372,
2752.328,30.862316,
2751.364,31.414943,
2750.400,32.224645,
2749.436,33.200222,
2748.472,34.204116,
2747.507,35.377836,
2746.543,38.238907,
2745.579,42.951983,
2744.615,44.368184,
2743.650,42.59288,
2742.686,41.957957,
2741.722,42.853307,
2740.758,43.817112,
2739.793,44.326525,
2738.829,44.112256,
2737.865,43.376403,
2736.901,43.462576,
2735.937,44.757729,
2734.972,47.26934,
2734.008,50.84643,
2733.044,51.568341,
2732.080,49.02507,
2731.115,46.388582,
2730.151,44.692525,
2729.187,44.311607,
2728.223,45.500463,
2727.258,45.441369,
2726.294,42.113429,
2725.330,40.202478,
2724.366,43.227566,
2723.401,44.700797,
2722.437,40.689554,
2721.473,37.051457,
2720.509,36.428645,
2719.545,36.757001,
2718.580,36.750691,
2717.616,36.758738,
2716.652,37.237241,
2715.688,37.851685,
2714.723,37.629454,
2713.759,36.863721,
2712.795,35.265419,
2711.831,33.708281,
2710.866,34.692838,
2709.902,35.999515,
2708.938,35.289839,
2707.974,33.864827,
2707.010,33.033127,
2706.045,32.387412,
2705.081,30.997264,
2704.117,29.502769,
2703.153,29.371949,
2702.188,29.636342,
2701.224,30.413284,
2700.260,32.352139,
2699.296,32.173222,
2698.331,31.400213,
2697.367,31.604351,
2696.403,31.709126,
2695.439,31.363265,
2694.474,30.88884,
2693.510,29.866904,
2692.546,28.143895,
2691.582,26.696276,
2690.618,25.674439,
2689.653,24.312318,
2688.689,22.842386,
2687.725,23.258877,
2686.761,24.872392,
2685.796,23.833124,
2684.832,21.01524,
2683.868,22.81684,
2682.904,28.990072,
2681.939,30.747288,
2680.975,25.065587,
2680.011,19.893993,
2679.047,19.020008,
2678.083,19.824,
2677.118,22.24767,
2676.154,24.005667,
2675.190,23.687834,
2674.226,22.961309,
2673.261,22.33996,
2672.297,22.434773,
2671.333,23.857514,
2670.369,24.579183,
2669.404,22.205979,
2668.440,19.671594,
2667.476,20.493896,
2666.512,21.701599,
2665.547,20.624587,
2664.583,19.337759,
2663.619,18.845121,
2662.655,18.743352,
2661.691,19.367022,
2660.726,20.496161,
2659.762,22.086434,
