,HDPE spectra,
Raman shift [1/cm],Counts/sec,
2944.637,336.61325,
2943.672,359.8526,
2942.708,387.26531,
2941.744,420.93826,
2940.780,460.09864,
2939.816,503.21293,
2938.851,550.03845,
2937.887,599.05072,
2936.923,649.30516,
2935.959,700.71969,
2934.994,751.64977,
2934.030,799.82426,
2933.066,846.12692,
2932.102,890.13613,
2931.137,930.86183,
2930.173,968.45254,
2929.209,1003.5006,
2928.245,1036.115,
2927.281,1065.8258,
2926.316,1091.8843,
2925.352,1114.2974,
2924.388,1131.706,
2923.424,1148.2154,
2922.459,1166.3866,
2921.495,1181.996,
2920.531,1191.5014,
2919.567,1197.8044,
2918.602,1204.0006,
2917.638,1209.4978,
2916.674,1213.4004,
2915.710,1217.0022,
2914.745,1220.7998,
2913.781,1224.0982,
2912.817,1228.4998,
2911.853,1237.1056,
2910.889,1250.0154,
2909.924,1266.6888,
2908.960,1287.6962,
2907.996,1313.8094,
2907.032,1344.8272,
2906.067,1379.4097,
2905.103,1416.588,
2904.139,1458.6078,
2903.175,1506.4314,
2902.210,1554.9044,
2901.246,1603.1778,
2900.282,1652.5012,
2899.318,1701.1228,
2898.354,1746.0418,
2897.389,1788.1748,
2896.425,1828.4954,
2895.461,1867.0134,
2894.497,1903.0272,
2893.532,1934.8766,
2892.568,1967.5918,
2891.604,2002.608,
2890.640,2036.6234,
2889.675,2069.1074,
2888.711,2105.086,
2887.747,2144.1044,
2886.783,2190.2334,
2885.818,2247.61,
2884.854,2320.8616,
2883.890,2415.1962,
2882.926,2541.7742,
2881.962,2709.3227,
2880.997,2949.3409,
2880.033,3267.7432,
2879.069,3643.1316,
2878.105,4073.8461,
2877.140,4385.2907,
2876.176,4566.4428,
2875.212,4550.3626,
2874.248,4327.765,
2873.283,3967.5122,
2872.319,3515.605,
2871.355,3094.3894,
2870.391,2742.7594,
2869.427,2469.6033,
2868.462,2272.7165,
2867.498,2121.7162,
2866.534,2022.773,
2865.570,1950.9604,
2864.605,1905.0335,
2863.641,1874.9074,
2862.677,1856.0982,
2861.713,1848.9038,
2860.748,1854.2089,
2859.784,1872.7928,
2858.820,1903.604,
2857.856,1943.8288,
2856.891,1992.9042,
2855.927,2046.772,
2854.963,2107.6978,
2853.999,2177.1352,
2853.035,2255.7848,
2852.070,2346.6402,
2851.106,2450.282,
2850.142,2563.1374,
2849.178,2683.2007,
2848.213,2809.8357,
2847.249,2944.3582,
2846.285,3079.4236,
2845.321,3215.2769,
2844.356,3332.2003,
2843.392,3428.157,
2842.428,3468.9994,
2841.464,3452.257,
2840.500,3369.3522,
2839.535,3222.1863,
2838.571,3023.2202,
2837.607,2778.5981,
2836.643,2512.0557,
2835.678,2230.204,
2834.714,1962.0642,
2833.750,1704.7436,
2832.786,1474.6513,
2831.821,1270.7819,
2830.857,1096.1658,
2829.893,948.85614,
2828.929,819.56283,
2827.964,706.02508,
2827.000,610.01939,
2826.036,530.09242,
2825.072,460.46286,
2824.108,400.65602,
2823.143,353.79057,
2822.179,319.57574,
2821.215,288.69166,
2820.251,262.30007,
2819.286,237.40967,
2818.322,214.55698,
2817.358,196.5876,
2816.394,183.12133,
2815.429,170.04834,
2814.465,156.58596,
2813.501,144.73958,
2812.537,134.60632,
2811.573,127.58582,
2810.608,123.4524,
2809.644,117.51058,
2808.680,110.28738,
2807.716,103.53485,
2806.751,97.632241,
2805.787,92.285252,
2804.823,87.354114,
2803.859,83.812714,
2802.894,82.061426,
2801.930,79.888808,
2800.966,76.337434,
2800.002,71.304916,
2799.037,64.465632,
2798.073,61.197663,
2797.109,62.309972,
2796.145,61.905576,
2795.181,58.806139,
2794.216,56.833276,
2793.252,56.393072,
2792.288,55.053178,
2791.324,52.499116,
2790.359,50.161834,
2789.395,48.214584,
2788.431,45.320198,
2787.467,40.962679,
2786.502,38.98773,
2785.538,40.410376,
2784.574,40.7469,
2783.610,38.596824,
2782.646,36.379582,
2781.681,34.982804,
2780.717,34.402052,
2779.753,34.825856,
2778.789,34.459252,
2777.824,32.46742,
2776.860,31.323262,
2775.896,31.953184,
2774.932,32.67622,
2773.967,32.973513,
2773.003,32.383216,
2772.039,30.773876,
2771.075,29.722402,
2770.110,30.389702,
2769.146,30.44897,
2768.182,28.38404,
2767.218,27.27575,
2766.254,28.888858,
2765.289,29.79342,
2764.325,28.293236,
2763.361,26.242398,
2762.397,24.40092,
2761.432,24.303076,
2760.468,26.705292,
2759.504,28.577806,
2758.540,27.554205,
2757.575,26.375748,
2756.611,28.462098,
2755.647,31.496088,
2754.683,33.186662,
2753.719,34.422224,
2752.754,35.621316,
2751.790,36.20495,
2750.826,36.019126,
2749.862,36.336147,
2748.897,37.635081,
2747.933,39.38561,
2746.969,41.482412,
2746.005,43.057585,
2745.040,42.500766,
2744.076,41.738276,
2743.112,45.28963,
2742.148,50.406215,
2741.183,52.404744,
2740.219,53.735337,
2739.255,57.036952,
2738.291,61.48563,
2737.327,67.084974,
2736.362,73.345017,
2735.398,78.716184,
2734.434,82.54805,
2733.470,85.708949,
2732.505,89.320205,
2731.541,95.598182,
2730.577,104.38184,
2729.613,113.80683,
2728.648,123.86252,
2727.684,136.07478,
2726.720,148.90046,
2725.756,156.94318,
2724.792,162.81078,
2723.827,173.31407,
2722.863,188.1188,
2721.899,201.2741,
2720.935,211.41686,
2719.970,219.14457,
2719.006,224.26888,
2718.042,229.04112,
2717.078,233.26186,
2716.113,235.73993,
2715.149,237.30944,
2714.185,234.34908,
2713.221,227.1553,
2712.256,219.49005,
2711.292,212.74332,
2710.328,207.73004,
2709.364,204.81754,
2708.400,199.65116,
2707.435,190.4458,
2706.471,182.02124,
2705.507,175.45776,
2704.543,168.82408,
2703.578,161.61554,
2702.614,153.69226,
2701.650,145.92868,
2700.686,139.30599,
2699.721,133.44964,
2698.757,128.30217,
2697.793,124.60974,
2696.829,120.29632,
2695.865,113.55324,
2694.900,107.00366,
2693.936,101.46042,
2692.972,96.230129,
2692.008,91.656952,
2691.043,88.246377,
2690.079,86.448382,
2689.115,85.693862,
2688.151,85.187044,
2687.186,83.922515,
2686.222,80.675138,
2685.258,76.543578,
2684.294,73.391287,
2683.329,70.622268,
2682.365,68.664954,
2681.401,67.019006,
2680.437,64.9781,
2679.473,63.104969,
2678.508,61.000317,
2677.544,59.02228,
2676.580,58.770274,
2675.616,59.567165,
2674.651,58.55777,
2673.687,56.125678,
2672.723,55.044916,
2671.759,54.640602,
2670.794,54.063178,
2669.830,53.923058,
2668.866,53.071876,
2667.902,51.23813,
2666.938,49.663075,
2665.973,48.770494,
2665.009,48.05705,
2664.045,47.62817,
2663.081,48.039702,
2662.116,48.82046,
2661.152,48.063158,
2660.188,45.445008,
2659.224,45.474819,
2658.259,49.176843,
2657.295,51.389238,
2656.331,52.303225,
2655.367,53.91834,
2654.402,56.066993,
2653.438,57.929102,
2652.474,59.135002,
2651.510,59.94936,
2650.546,60.690343,
2649.581,61.04378,
2648.617,60.45608,
2647.653,59.385548,
2646.689,58.089144,
2645.724,57.061778,
2644.760,57.296936,
2643.796,58.342326,
