,Nylon 66 Spectrum,
Raman shift [1/cm],Counts/sec,
2890.214,3969.2961,
2889.250,3845.2793,
2888.286,3730.4365,
2887.321,3623.0559,
2886.357,3518.1231,
2885.393,3407.2821,
2884.429,3301.4919,
2883.464,3209.4785,
2882.500,3134.8434,
2881.536,3081.746,
2880.572,3044.9434,
2879.607,3020.8294,
2878.643,3007.0446,
2877.679,3001.1477,
2876.715,3006.7273,
2875.750,3026.7198,
2874.786,3058.5589,
2873.822,3098.0712,
2872.858,3127.6943,
2871.894,3132.8306,
2870.929,3129.3721,
2869.965,3124.0202,
2869.001,3116.3674,
2868.037,3107.6385,
2867.072,3094.4429,
2866.108,3071.7263,
2865.144,3040.2885,
2864.180,3002.0887,
2863.215,2969.2998,
2862.251,2951.8952,
2861.287,2929.3827,
2860.323,2893.7398,
2859.359,2855.3158,
2858.394,2817.9335,
2857.430,2789.5017,
2856.466,2775.4884,
2855.502,2771.0487,
2854.537,2773.0285,
2853.573,2772.4588,
2852.609,2755.1617,
2851.645,2726.0747,
2850.680,2684.1508,
2849.716,2624.9003,
2848.752,2546.3691,
2847.788,2447.9272,
2846.823,2327.5119,
2845.859,2188.1225,
2844.895,2033.6228,
2843.931,1869.4359,
2842.967,1701.8594,
2842.002,1529.4002,
2841.038,1352.8177,
2840.074,1180.8746,
2839.110,1025.4256,
2838.145,889.85946,
2837.181,778.96652,
2836.217,686.08603,
2835.253,608.72312,
2834.288,545.80725,
2833.324,495.45303,
2832.360,453.43819,
2831.396,414.10569,
2830.431,381.35279,
2829.467,355.74933,
2828.503,334.8948,
2827.539,316.1119,
2826.575,298.37316,
2825.610,281.05948,
2824.646,266.76968,
2823.682,256.66389,
2822.718,247.82617,
2821.753,237.9256,
2820.789,228.2909,
2819.825,219.14917,
2818.861,210.11382,
2817.896,201.35126,
2816.932,190.61221,
2815.968,175.38633,
2815.004,163.2109,
2814.040,159.15022,
2813.075,155.80486,
2812.111,148.79401,
2811.147,140.43438,
2810.183,132.36641,
2809.218,123.35484,
2808.254,113.32084,
2807.290,104.03675,
2806.326,96.198577,
2805.361,89.225594,
2804.397,83.911394,
2803.433,79.354518,
2802.469,75.398366,
2801.504,72.186217,
2800.540,68.995262,
2799.576,64.460674,
2798.612,57.68336,
2797.648,50.544902,
2796.683,45.05128,
2795.719,41.386866,
2794.755,42.388987,
2793.791,44.391214,
2792.826,41.924402,
2791.862,38.114175,
2790.898,34.053766,
2789.934,31.077424,
2788.969,31.571747,
2788.005,34.183884,
2787.041,36.452955,
2786.077,37.020933,
2785.113,33.26255,
2784.148,27.839811,
2783.184,29.577694,
2782.220,34.080316,
2781.256,37.207702,
2780.291,39.627912,
2779.327,38.362909,
2778.363,36.936453,
2777.399,40.164422,
2776.434,44.722867,
2775.470,45.141854,
2774.506,43.808835,
2773.542,46.427033,
2772.577,51.35809,
2771.613,54.094813,
2770.649,55.960127,
2769.685,61.42212,
2768.721,68.131245,
2767.756,71.523125,
2766.792,73.020045,
2765.828,73.374129,
2764.864,73.188296,
2763.899,73.631098,
2762.935,75.431795,
2761.971,80.720376,
2761.007,89.161225,
2760.042,95.587456,
2759.078,100.01721,
2758.114,100.83027,
2757.150,98.611571,
2756.186,102.14635,
2755.221,109.47362,
2754.257,116.64364,
2753.293,122.75089,
2752.329,126.88347,
2751.364,129.46347,
2750.400,133.55032,
2749.436,139.53832,
2748.472,145.68498,
2747.507,152.05843,
2746.543,160.91493,
2745.579,172.50602,
2744.615,180.12726,
2743.650,183.80619,
2742.686,186.24734,
2741.722,187.97158,
2740.758,190.23562,
2739.794,193.20458,
2738.829,193.98378,
2737.865,192.18535,
2736.901,192.58916,
2735.937,196.77449,
2734.972,200.89414,
2734.008,203.90357,
2733.044,201.30683,
2732.080,192.57843,
2731.115,186.4545,
2730.151,186.16223,
2729.187,186.28132,
2728.223,184.09221,
2727.259,182.23079,
2726.294,182.09807,
2725.330,181.74461,
2724.366,179.52454,
2723.402,178.8769,
2722.437,182.23598,
2721.473,185.23706,
2720.509,186.07739,
2719.545,186.40142,
2718.580,186.75591,
2717.616,184.8795,
2716.652,178.569,
2715.688,171.95738,
2714.723,171.75704,
2713.759,172.1923,
2712.795,166.4214,
2711.831,160.22697,
2710.867,161.16205,
2709.902,162.1887,
2708.938,156.48211,
2707.974,148.96596,
2707.010,144.80014,
2706.045,143.3916,
2705.081,143.33964,
2704.117,143.66987,
2703.153,141.54981,
2702.188,137.33663,
2701.224,136.16568,
2700.260,137.51837,
2699.296,136.0151,
2698.332,133.85138,
2697.367,132.51067,
2696.403,131.08855,
2695.439,130.2827,
2694.475,130.16375,
2693.510,128.90204,
2692.546,125.71829,
2691.582,121.00307,
2690.618,115.40092,
2689.653,112.35278,
2688.689,112.1188,
2687.725,109.5795,
2686.761,104.66104,
2685.796,104.91412,
2684.832,110.38024,
2683.868,110.56579,
2682.904,104.19255,
2681.940,96.675462,
2680.975,90.555113,
2680.011,88.955455,
2679.047,94.172157,
2678.083,97.19814,
2677.118,93.757662,
2676.154,89.892821,
2675.190,86.492038,
2674.226,82.594048,
2673.261,78.375105,
2672.297,76.17414,
2671.333,77.548508,
2670.369,79.528887,
2669.405,78.960881,
2668.440,77.195357,
2667.476,75.026663,
2666.512,72.978354,
2665.548,72.484132,
2664.583,72.636026,
2663.619,72.301766,
2662.655,71.834894,
2661.691,71.408375,
2660.726,71.102432,
2659.762,71.247633,
2658.798,71.508314,
2657.834,71.03291,
2656.869,70.276373,
2655.905,71.385489,
2654.941,73.769699,
2653.977,72.510605,
2653.013,68.978509,
